vdw,vdw_attr,vdw_rep,elec,elec_sr_attr,elec_lr_attr,elec_sr_rep,elec_lr_rep,hbp_ss,solv,sasa,acp,vdwf,hit(2.5A),near_hit(4.0A),RMSD,,Rank,Number of hits,,53.074,151.294,0.15,1.373,13.235,-0.097,15.93,-0.734,0,0,27.635,79.063
36,-76.3513,1632.01,1183.13,-363.024,-113.321,448.458,79.698,-2.60203,-1243.26,-149.56,-14.7355,33408.3,N,N,9.64271,-10777.90692,1,0,-10777.90692,1910.664,-11551.49358,244.8015,1624.43749,-4804.62264,10.992137,7143.93594,-58.498332,0,0,-4133.0906,-1165.032837
44,-72.9548,1989.46,1070.17,-585.728,-68.7234,637.518,44.2184,-9.50903,-1315.24,-150.442,-22.1919,22639,Y,Y,0.638945,-10468.86644,2,1,-10468.86644,2335.256,-11037.62351,298.419,1469.34341,-7752.11008,6.6661698,10155.66174,-32.4563056,0,0,-4157.46467,-1754.55819
15,-52.1962,263.848,860.512,-233.965,-35.3194,267.943,20.4173,-3.11545,-1145.2,-150.447,-18.3582,213.692,Y,Y,1.11711,-10328.61402,3,2,-10328.61402,796.11,-7896.971883,39.5772,1181.482976,-3096.526775,3.4259818,4268.33199,-14.9862982,0,0,-4157.602845,-1451.454367
50,-74.7642,3057.92,1048.9,-386.905,-110.981,422.162,186.534,-3.95111,-1095.72,-136.755,-15.3549,433844,N,N,7.71041,-10273.87387,4,2,-10273.87387,2653.7,-11311.37487,458.688,1440.1397,-5120.687675,10.765157,6725.04066,-136.915956,0,0,-3779.224425,-1214.004459
60,-91.746,3935.86,1486.53,-551.333,-199.675,628.008,180.175,-3.87832,-1385.54,-125.186,-15.9271,6.11E+08,N,N,6.97314,-10189.15884,5,2,-10189.15884,3184.44,-13880.61932,590.379,2041.00569,-7296.892255,19.368475,10004.16744,-132.24845,0,0,-3459.51511,-1259.244307
41,-81.59,1487.11,1044.8,-460.435,-166.707,583.699,156.245,-2.57483,-991.919,-127.015,-15.5366,2957.63,N,N,7.4895,-10142.9417,6,2,-10142.9417,2176.034,-12344.07746,223.0665,1434.5104,-6093.857225,16.170579,9298.32507,-114.68383,0,0,-3510.059525,-1228.370206
25,-61.7397,403.215,960.676,-253.937,-81.4389,303.703,66.1008,-2.04818,-1192.1,-139.022,-12.4782,480.909,N,N,7.50521,-10026.42849,7,2,-10026.42849,1326.85,-9340.846172,60.48225,1319.008148,-3360.856195,7.8995733,4837.98879,-48.5179872,0,0,-3841.87297,-986.5639266
10,-51.1464,265.936,847.817,-251.117,-35.7835,310.038,20.3156,-4.99223,-1148.59,-150.427,-18.1198,746.805,Y,Y,1.00053,-9989.184999,8,3,-9989.184999,530.74,-7738.143442,39.8904,1164.052741,-3323.533495,3.4709995,4938.90534,-14.9116504,0,0,-4157.050145,-1432.605747
22,-52.7758,722.392,842.359,-337.383,-57.632,354.582,37.509,-3.22066,-1130.78,-150.563,-17.77,8306.69,Y,Y,0.70915,-9956.58824,9,4,-9956.58824,1167.628,-7984.661885,108.3588,1156.558907,-4465.264005,5.590304,5648.49126,-27.531606,0,0,-4160.808505,-1404.94951
24,-57.0375,1084.77,850.706,-322.249,-34.6429,386.826,20.2342,-2.78583,-1132.33,-150.372,-20.5196,272073,Y,Y,1.32768,-9917.110918,10,5,-9917.110918,1273.776,-8629.431525,162.7155,1168.019338,-4264.965515,3.3603613,6162.13818,-14.8519028,0,0,-4155.53022,-1622.341135
53,-82.3104,3872.44,1301.06,-497.472,-95.5325,582.748,75.7801,-3.40056,-1324.51,-154.483,-12.9509,29589.7,N,N,9.47985,-9913.22321,11,5,-9913.22321,2812.922,-12453.06966,580.866,1786.35538,-6584.04192,9.2666525,9283.17564,-55.6225934,0,0,-4269.137705,-1023.937007
53,-81.4153,2795.36,1252.51,-435.279,-109.002,541.728,88.0099,-3.57083,-1314.69,-152.74,-14.119,152771,N,N,9.70255,-9888.201163,12,5,-9888.201163,2812.922,-12317.6464,419.304,1719.69623,-5760.917565,10.573194,8629.72704,-64.5992666,0,0,-4220.9699,-1116.290497
20,-52.8373,608.563,869.488,-295.843,-30.5028,345.786,17.0491,-4.13687,-1097.24,-154.271,-19.0099,665.14,Y,Y,1.45183,-9830.320194,13,6,-9830.320194,1061.48,-7993.966466,91.28445,1193.807024,-3915.482105,2.9587716,5508.37098,-12.5140394,0,0,-4263.279085,-1502.979724
48,-83.1106,1579.8,1097.57,-525.775,-167.716,639.884,157.972,-2.5084,-1038.78,-126.69,-14.8485,5049.14,N,N,7.61683,-9822.657613,14,6,-9822.657613,2547.552,-12574.13512,236.97,1506.96361,-6958.632125,16.268452,10193.35212,-115.951448,0,0,-3501.07815,-1173.966956
30,-71.7063,865.724,953.313,-420.768,-82.9992,515.604,88.8721,-4.50954,-973.714,-127.901,-12.4733,4764.01,N,N,7.69823,-9750.950215,15,6,-9750.950215,1592.22,-10848.73295,129.8586,1308.898749,-5568.86448,8.0509224,8213.57172,-65.2321214,0,0,-3534.544135,-986.1765179
23,-53.032,615.515,831.8,-308.845,-49.4819,351.89,25.5512,-1.11656,-1149.78,-148.465,-19.7157,1165.18,Y,Y,0.939555,-9725.856134,16,7,-9725.856134,1220.702,-8023.423408,92.32725,1142.0614,-4087.563575,4.7997443,5605.6077,-18.7545808,0,0,-4102.830275,-1558.782389
55,-73.1987,2271.56,677.976,-474.936,-92.3193,530.33,187.744,-2.81071,-752.869,-115.733,-19.9534,71798.7,N,N,16.2061,-9626.186373,17,7,-9626.186373,2919.07,-11074.52412,340.734,930.861048,-6285.77796,8.9549721,8448.1569,-137.804096,0,0,-3198.281455,-1577.575664
68,-83.896,3676.11,826.607,-602.639,-69.5678,656.044,99.6056,-4.63745,-771.926,-123.074,-15.6078,171298,N,N,16.0038,-9624.239673,18,7,-9624.239673,3609.032,-12692.96142,551.4165,1134.931411,-7975.927165,6.7480766,10450.78092,-73.1105104,0,0,-3401.14999,-1233.999491
43,-73.4292,3544.54,1296.15,-395.875,-49.7126,464.381,77.89,-4.31387,-1248.72,-150.435,-13.3149,2.20E+08,N,N,8.76149,-9620.073031,19,7,-9620.073031,2282.182,-11109.39738,531.681,1779.61395,-5239.405625,4.8221222,7397.58933,-57.17126,0,0,-4157.271225,-1052.715939
44,-59.0605,1622.75,923.625,-372.513,-55.6754,410.516,32.7995,-2.72255,-1178.22,-158.751,-21.8932,74648.7,Y,Y,1.17634,-9616.083613,20,8,-9616.083613,2335.256,-8935.499287,243.4125,1268.137125,-4930.209555,5.4005138,6539.51988,-24.074833,0,0,-4387.083885,-1730.942072
55,-78.9425,2820.64,1240.05,-391.533,-123.966,490.597,99.2126,-3.6821,-1270.26,-149.366,-12.9818,849194,N,N,9.89814,-9480.4078,21,8,-9480.4078,2919.07,-11943.5266,423.096,1702.58865,-5181.939255,12.024702,7815.21021,-72.8220484,0,0,-4127.72941,-1026.380053
47,-73.0544,1514.7,1051.83,-514.381,-43.0299,569.972,55.6257,-1.97482,-1017.89,-134.02,-13.9327,18509.1,N,N,7.54513,-9456.884502,22,8,-9456.884502,2494.478,-11052.69239,227.205,1444.16259,-6807.832535,4.1739003,9079.65396,-40.8292638,0,0,-3703.6427,-1101.56106
49,-77.4187,3527.57,982.825,-529.282,-43.0986,595.666,36.5612,-6.86739,-862.525,-132.093,-12.5731,2.64E+10,N,N,17.2634,-9417.00488,23,8,-9417.00488,2600.626,-11712.9848,529.1355,1349.418725,-7005.04727,4.1805642,9488.95938,-26.8359208,0,0,-3650.390055,-994.0670053
68,-81.6584,4426.57,1049.24,-454.272,-90.6912,535.689,132.544,-5.10915,-1003.56,-136.054,-18.2996,3.11E+13,N,N,7.66008,-9414.729914,24,8,-9414.729914,3609.032,-12354.42597,663.9855,1440.60652,-6012.28992,8.7970464,8533.52577,-97.287296,0,0,-3759.85229,-1446.821275
24,-57.0127,2715.3,745.423,-342.824,-39.5258,377.522,59.1639,-4.31495,-850.341,-132.21,-15.9779,5.31E+08,N,N,17.155,-9400.969193,25,8,-9400.969193,1273.776,-8625.679434,407.295,1023.465779,-4537.27564,3.8340026,6013.92546,-43.4263026,0,0,-3653.62335,-1263.260708
36,-67.1688,2732.96,884.108,-460.786,-38.8939,541.113,63.9231,-5.21737,-936.544,-135.407,-18.6993,2.73E+08,N,N,16.7148,-9369.862811,26,8,-9369.862811,1910.664,-10162.23643,409.944,1213.880284,-6098.50271,3.7727083,8619.93009,-46.9195554,0,0,-3741.972445,-1478.422756
9,-45.7243,296.573,798.138,-214.42,-31.7999,266.724,19.0699,-4.43037,-1105.18,-148.268,-17.289,791.126,Y,Y,1.024,-9363.971304,27,9,-9363.971304,477.666,-6917.812244,44.48595,1095.843474,-2837.8487,3.0845903,4248.91332,-13.9973066,0,0,-4097.38618,-1366.920207
49,-80.4671,2550.86,1379.71,-439.686,-159.8,523.44,143.83,-1.55904,-1333.39,-127.453,-12.2503,4.75E+06,N,N,6.98475,-9358.217351,28,9,-9358.217351,2600.626,-12174.18943,382.629,1894.34183,-5819.24421,15.5006,8338.3992,-105.57122,0,0,-3522.163655,-968.5454689
35,-59.5884,797.179,853.712,-358.422,-45.1719,422.14,34.144,-2.19991,-1202.63,-144.532,-17.6563,924.388,Y,Y,0.93197,-9295.860822,29,10,-9295.860822,1857.59,-9015.36739,119.57685,1172.146576,-4743.71517,4.3816743,6724.6902,-25.061696,0,0,-3994.14182,-1395.960047
41,-82.3895,4439.09,1082.61,-618.479,-52.3596,715.425,72.8607,-8.32329,-950.893,-128.395,-9.75738,332552,N,N,16.8731,-9293.609731,30,10,-9293.609731,2176.034,-12465.03701,665.8635,1486.42353,-8185.569565,5.0788812,11396.72025,-53.4797538,0,0,-3548.195825,-771.4477349
17,-56.3558,284.953,941.887,-274.339,-44.5843,338.263,50.8333,-6.08154,-1173.99,-138.288,-10.8,229.969,N,N,7.4352,-9238.885924,31,10,-9238.885924,902.258,-8526.294405,42.74295,1293.210851,-3630.876665,4.3246771,5388.52959,-37.3116422,0,0,-3821.58888,-853.8804
30,-63.6227,659.144,1196.33,-369.611,-99.4198,403.409,81.482,-3.35015,-1205.6,-140.991,-6.57629,1924.03,N,N,6.99403,-9223.967867,32,10,-9223.967867,1592.22,-9625.732774,98.8716,1642.56109,-4891.801585,9.6437206,6426.30537,-59.807788,0,0,-3896.286285,-519.9412163
52,-78.1251,2070.33,1043.82,-451.142,-133.806,559.097,101.61,-1.964,-983.645,-126.921,-16.0543,9311.33,N,N,7.41019,-9219.111193,33,10,-9219.111193,2759.848,-11819.85888,310.5495,1433.16486,-5970.86437,12.979182,8906.41521,-74.58174,0,0,-3507.461835,-1269.301121
45,-59.4739,1217.84,891.251,-345.847,-47.3092,390.432,41.0717,-1.18137,-1214.62,-150.683,-18.4988,5812.01,Y,Y,0.992775,-9213.306853,34,11,-9213.306853,2388.33,-8998.044227,182.676,1223.687623,-4577.285045,4.5889924,6219.58176,-30.1466278,0,0,-4164.124705,-1462.570624
51,-76.8753,4351.54,1239.36,-448.58,-103.293,539.914,80.1764,-2.08795,-1273,-152.934,-12.9473,353240,N,N,9.39123,-9204.565165,35,11,-9204.565165,2706.774,-11630.77164,652.731,1701.64128,-5936.9563,10.019421,8600.83002,-58.8494776,0,0,-4226.33109,-1023.65238
53,-80.9389,3042.46,1176.23,-474.845,-101.267,552.166,116.925,-1.33188,-1221.35,-135.297,-5.99976,1.87E+07,N,N,7.31332,-9139.176012,36,11,-9139.176012,2812.922,-12245.56994,456.369,1614.96379,-6284.573575,9.822899,8796.00438,-85.82295,0,0,-3738.932595,-474.3590249
