ID,vdw,vdw_attr,vdw_rep,elec,elec_sr_attr,elec_lr_attr,elec_sr_rep,elec_lr_rep,hbp_ss,solv,sasa,acp,RMSD
1A2K,46,-62.45,3535.69,720.24,-625.84,-3265.13,564.82,3333.25,-1.45,-78.95,-178.09,-2.8,2.42
1A2K,38,-53.32,2093.68,711.58,-478.44,-3219.57,445.6,3205.24,-1.37,-69,-178.75,-3.01,2.42
1A2K,34,-51.67,1910.54,654,-433.7,-3088.11,382.7,3148.82,-4.84,-62.6,-181.15,-7.33,2.49
1A2K,118,-117,7582.61,798.81,-998.35,-3538.35,974.27,3527.62,-6.43,-166.45,-191.9,-19.81,2.43
1A2K,28,-48.26,2744.37,677.86,-467.62,-3030.11,468.59,3032.1,-2.37,-59.66,-184.63,-2.59,2.4
1A2K,33,-54.33,2112.95,689.46,-440.49,-3226.14,410.51,3246.75,-1.61,-65.91,-180.3,-4.99,2.27
1A2K,59,-65.12,5047.69,716.96,-609.86,-3313.23,558.87,3354.69,-2.83,-102.95,-178.27,-7.3,2.02
1A2K,51,-61.73,2833.99,698.33,-574.98,-3173.84,533.08,3315.66,-1.32,-82.11,-179.07,-7.15,2.42
1A2K,63,-65.92,3442.63,702.19,-608.37,-3202.82,577.39,3337.44,-1.37,-87.97,-180.88,-8.69,2.45
1A2K,55,-70.68,3431.4,725.35,-660.14,-3308.74,607.96,3447.91,-3.98,-94.28,-176.77,-7.09,2.44
1A2K,61,-56.79,4426.44,687.7,-557.8,-3134.86,523.54,3225.92,-0.75,-87.53,-180.72,-7.74,1.99
1A2K,116,-89.33,5879.33,757.38,-946.64,-3384.78,929.33,3385.57,-5.21,-136.94,-184.6,-13.33,1.78
1A2K,34,-42.89,3427.48,618.98,-444.35,-2807.81,429.37,2797.91,-1.94,-59.26,-185.56,-1.14,2.3
1A2K,97,-85.29,5737.62,738.39,-906.83,-3360.58,862.35,3386.16,-5.64,-140.07,-185.4,-12.47,1.61
1A2K,63,-55.6,3720.43,720.63,-558.78,-3233.4,581.47,3182.24,-3.93,-77.32,-181.8,-4.32,2.47
1A2K,117,-96.57,6075.52,772.81,-1130.22,-3395.32,1107.24,3465.34,-7.33,-149.24,-182.07,-11.65,1.95
1A2K,93,-75.12,7432.61,747.86,-892.69,-3359.09,827.78,3470.19,-4.33,-136.41,-176.76,-5.13,2.11
1A2K,109,-93.13,7024.73,768.67,-883.42,-3393.35,890.56,3400.94,-5.71,-134,-186.23,-15.47,1.88
1A2K,114,-88.59,8443.51,783.99,-1054.54,-3515.99,969.72,3589.92,-5.93,-141.65,-174.11,-4.16,2.3
1A2K,102,-82.52,7374.86,789.61,-1012.28,-3434.89,937.44,3525.78,-4.43,-136.58,-174.21,-1.18,2.45
1A2K,135,-103.56,8597.45,784.03,-1248.11,-3399.81,1204.98,3462.89,-8.11,-194.5,-185.35,-12.74,2.01
1A2K,114,-95.51,7761.84,786.35,-870.5,-3513.91,860,3508.21,-6.15,-146.31,-184.31,-15.82,1.87
1A2K,101,-84.72,5989.29,774.68,-929.85,-3269.75,950.43,3336.49,-4.68,-133.86,-184.66,-10.59,1.94
1A2K,117,-94.47,7260.32,745.13,-948.17,-3366.59,952.09,3398.87,-4.09,-148.16,-185.95,-15.04,1.69
1A2K,53,-54.11,5448.12,653.8,-664.67,-2974.71,662.36,2940.47,-5.87,-88.56,-186.17,-1.94,2.36
1A2K,128,-105.15,7115.28,802.55,-1062.31,-3587.55,1083.98,3591.79,-6.66,-169.62,-180.59,-14.68,1.94
1A2K,125,-88.72,7384.66,732.26,-990.81,-3227.04,982.34,3336.85,-4.36,-142.8,-185.24,-12.82,1.82
1A2K,112,-91.05,8525.5,746.88,-986.86,-3394.79,967.08,3483.96,-6.03,-176.43,-183.75,-11.91,1.76
1A2K,164,-113.36,10660.32,782.36,-1404.47,-3420.27,1352.18,3611.7,-9.1,-198.43,-181.87,-12.01,2.15
1A2K,113,-91.54,9023.9,760.24,-1063.98,-3412.13,1015.08,3480.31,-8.62,-156.58,-177.68,-5.83,2.33
1A2K,115,-98.98,8945.15,813,-1044.14,-3488.76,1056.02,3516.22,-8.08,-163.94,-181.92,-11.75,2.11
1A2K,120,-89.81,8949.17,756.88,-992.73,-3425.54,994.39,3461.72,-6.17,-144.37,-185.46,-11.82,1.66
1A2K,151,-110.16,13267.03,824.03,-1448.96,-3505.81,1396,3535.85,-7.04,-211.86,-180.44,-10.07,2.3
1A2K,22,-30.12,976.88,528.64,-162.79,-2014.69,165.38,2061,-0.53,-31.7,-214.21,-4.88,13.08
1A2K,34,-55.27,719.08,767.87,-650.48,-2409.4,639.46,2613.76,-4.55,-75.76,-174.37,10.2,14.9
1A2K,32,-38.3,1489.68,608.65,-384.28,-2209.86,354.74,2219.72,-0.74,-51.19,-194.32,-4.58,15.36
1A2K,108,-90.91,7006.14,778.6,-945.49,-3292.96,932.85,3451.77,-4.37,-134.78,-180.49,-16.22,8.81
1A2K,44,-65.12,1123.98,797.41,-459.68,-2073.16,479.48,2494.02,-3.01,-80.99,-186.7,0.7,18
1A2K,87,-71.4,6531.51,757.37,-823.18,-2853.72,821.72,3084.74,-7.02,-121.42,-182.8,-7.69,9.56
1A2K,50,-64.46,3420.88,917.17,-519.32,-2588.36,522.27,2878.45,-1.9,-88.72,-200.24,-16.98,14.4
1A2K,58,-73.28,3059.46,837.85,-860.4,-3335.5,792.48,3764.79,-5.2,-105.74,-171.92,8.1,12.24
1A2K,76,-68.76,4339.18,606.7,-747.71,-2913.36,708.08,2877.09,-6.78,-95.58,-186.74,-1.05,12.69
1A2K,42,-58.47,1251.75,767.89,-607.95,-3099.95,532.42,3506.56,-2.59,-77.91,-181.16,5.15,11.47
1A2K,25,-41.24,835.34,695.65,-381.99,-2127.23,364.66,2398.31,-2.85,-49.53,-186.81,-8.27,16.83
1A2K,44,-60.4,2817.44,609.96,-667.59,-2496.97,617.62,2587.08,-1.92,-78.93,-200.02,-3.6,11.71
