EMDBID	MapModification	XmlModification	ImageModification	MapFile	XmlFile	ImageFile
0001	06/25/18	12/14/18	06/25/18	/pub/databases/emdb/structures/EMD-0001/map/emd_0001.map.gz	/pub/databases/emdb/structures/EMD-0001/header/emd-0001.xml	/pub/databases/emdb/structures/EMD-0001/images/emd_0001.png
0002	06/25/18	12/14/18	06/25/18	/pub/databases/emdb/structures/EMD-0002/map/emd_0002.map.gz	/pub/databases/emdb/structures/EMD-0002/header/emd-0002.xml	/pub/databases/emdb/structures/EMD-0002/images/emd_0002.png
0004	01/08/19	01/11/19	01/08/19	/pub/databases/emdb/structures/EMD-0004/map/emd_0004.map.gz	/pub/databases/emdb/structures/EMD-0004/header/emd-0004.xml	/pub/databases/emdb/structures/EMD-0004/images/emd_0004.png
0005	01/06/19	01/11/19	01/06/19	/pub/databases/emdb/structures/EMD-0005/map/emd_0005.map.gz	/pub/databases/emdb/structures/EMD-0005/header/emd-0005.xml	/pub/databases/emdb/structures/EMD-0005/images/emd_0005.png
0006	01/06/19	01/11/19	01/06/19	/pub/databases/emdb/structures/EMD-0006/map/emd_0006.map.gz	/pub/databases/emdb/structures/EMD-0006/header/emd-0006.xml	/pub/databases/emdb/structures/EMD-0006/images/emd_0006.png
0008	11/28/18	12/14/18	11/28/18	/pub/databases/emdb/structures/EMD-0008/map/emd_0008.map.gz	/pub/databases/emdb/structures/EMD-0008/header/emd-0008.xml	/pub/databases/emdb/structures/EMD-0008/images/emd_0008.png
0009	11/28/18	12/14/18	11/28/18	/pub/databases/emdb/structures/EMD-0009/map/emd_0009.map.gz	/pub/databases/emdb/structures/EMD-0009/header/emd-0009.xml	/pub/databases/emdb/structures/EMD-0009/images/emd_0009.png
0010	11/28/18	12/14/18	11/28/18	/pub/databases/emdb/structures/EMD-0010/map/emd_0010.map.gz	/pub/databases/emdb/structures/EMD-0010/header/emd-0010.xml	/pub/databases/emdb/structures/EMD-0010/images/emd_0010.png
0011	09/18/18	12/14/18	09/18/18	/pub/databases/emdb/structures/EMD-0011/map/emd_0011.map.gz	/pub/databases/emdb/structures/EMD-0011/header/emd-0011.xml	/pub/databases/emdb/structures/EMD-0011/images/emd_0011.png
0012	11/10/18	12/28/18	11/10/18	/pub/databases/emdb/structures/EMD-0012/map/emd_0012.map.gz	/pub/databases/emdb/structures/EMD-0012/header/emd-0012.xml	/pub/databases/emdb/structures/EMD-0012/images/emd_0012.png
0013	10/22/18	12/14/18	10/22/18	/pub/databases/emdb/structures/EMD-0013/map/emd_0013.map.gz	/pub/databases/emdb/structures/EMD-0013/header/emd-0013.xml	/pub/databases/emdb/structures/EMD-0013/images/emd_0013.png
